Well,Sample_ID,Apiary_ID,Content,Cq,SQ,Melt Temp
B09,EK_Daniels_091720_F19,EK_Daniels,Unkn,39.46860564,1.391405245,None
A02,EK_Daniels_091720_F2,EK_Daniels,Unkn,,,None
B10,EK_Daniels_091720_F20,EK_Daniels,Unkn,38.99754544,1.81641131,None
A03,EK_Daniels_091720_F3,EK_Daniels,Unkn,33.23973266,47.2243882,81.5
A04,EK_Daniels_091720_F4,EK_Daniels,Unkn,,,None
A05,EK_Daniels_091720_F5,EK_Daniels,Unkn,,,None
A06,EK_Daniels_091720_F6,EK_Daniels,Unkn,39.35856039,1.480800929,None
A07,EK_Daniels_091720_F7,EK_Daniels,Unkn,29.40832085,412.7771028,81.5
A08,EK_Daniels_091720_F8,EK_Daniels,Unkn,30.58492325,212.115185,81.5
A09,EK_Daniels_091720_F9,EK_Daniels,Unkn,33.85821594,33.27954147,81.5
A11,EK-cDNA control,EK_Daniels,Neg Ctrl,,,None
C01,FW_Huggins_091320_F1,FW_Huggins,Unkn,35.81241216,4.214112161,78.5
C10,FW_Huggins_091320_F10,FW_Huggins,Unkn,23.41456715,3788.061609,82.5
C11,FW_Huggins_091320_F11,FW_Huggins,Unkn,,,None
C12,FW_Huggins_091320_F12,FW_Huggins,Unkn,38.18310658,1.14789617,None
D11,FW_Huggins_091320_F13,FW_Huggins,Unkn,,,None
D12,FW_Huggins_091320_F14,FW_Huggins,Unkn,34.73790619,7.598022666,81.5
B11,FW_Huggins_091320_F15,FW_Huggins,Unkn,,,None
C02,FW_Huggins_091320_F2,FW_Huggins,Unkn,30.20572332,91.29889173,82
C03,FW_Huggins_091320_F3,FW_Huggins,Unkn,35.0190023,6.512251288,81.5
C04,FW_Huggins_091320_F4,FW_Huggins,Unkn,35.08975967,6.264315718,72.5
C05,FW_Huggins_091320_F5,FW_Huggins,Unkn,37.90659605,1.335917242,None
C06,FW_Huggins_091320_F6,FW_Huggins,Unkn,39.14452963,0.677406613,None
C07,FW_Huggins_091320_F7,FW_Huggins,Unkn,38.67066269,0.878507228,None
C08,FW_Huggins_091320_F8,FW_Huggins,Unkn,36.61663478,2.710846701,None
C09,FW_Huggins_091320_F9,FW_Huggins,Unkn,36.250151,3.314495879,None
D01,FW_Huggins_092520_F1,FW_Huggins,Unkn,,,None
D10,FW_Huggins_092520_F10,FW_Huggins,Unkn,34.66551087,7.905845589,82
D02,FW_Huggins_092520_F2,FW_Huggins,Unkn,39.31051678,0.618449163,None
D03,FW_Huggins_092520_F3,FW_Huggins,Unkn,36.61825927,2.708431977,None
D04,FW_Huggins_092520_F4,FW_Huggins,Unkn,34.75990702,7.506872187,82.5
D05,FW_Huggins_092520_F5,FW_Huggins,Unkn,,,None
D06,FW_Huggins_092520_F6,FW_Huggins,Unkn,39.74524046,0.487229685,None
D07,FW_Huggins_092520_F7,FW_Huggins,Unkn,39.11455251,0.688638497,None
D08,FW_Huggins_092520_F8,FW_Huggins,Unkn,,,None
D09,FW_Huggins_092520_F9,FW_Huggins,Unkn,39.79692179,0.473610127,None
B04,HG_cDNA control,HG_School,Neg Ctrl,,,None
G01,HG_School_091220_F1,HG_School,Unkn,32.35533661,203.345204,82.5
A10,HG_School_091220_F10,HG_School,Unkn,37.38718313,19.7478953,None
A11,HG_School_091220_F11,HG_School,Unkn,,,None
A12,HG_School_091220_F12,HG_School,Unkn,,,None
B01,HG_School_091220_F13,HG_School,Unkn,,,None
B02,HG_School_091220_F14,HG_School,Unkn,,,None
B03,HG_School_091220_F15,HG_School,Unkn,,,None
G02,HG_School_091220_F2,HG_School,Unkn,37.00428074,23.58218443,None
A03,HG_School_091220_F3,HG_School,Unkn,32.20784138,217.7303306,82.5
A04,HG_School_091220_F4,HG_School,Unkn,35.20658721,54.24867677,82.5
A05,HG_School_091220_F5,HG_School,Unkn,,,None
A06,HG_School_091220_F6,HG_School,Unkn,35.120238,56.46350767,82
A07,HG_School_091220_F7,HG_School,Unkn,36.41323068,31.01267297,82
A08,HG_School_091220_F8,HG_School,Unkn,,,None
A09,HG_School_091220_F9,HG_School,Unkn,,,None
C01,HG_School_092220_F1,HG_School,Unkn,,,None
C10,HG_School_092220_F10,HG_School,Unkn,34.4548507,76.85713489,82.5
C11,HG_School_092220_F11,HG_School,Unkn,,,None
C12,HG_School_092220_F12,HG_School,Unkn,35.31394406,51.61577236,82.5
B05,HG_School_092220_F13,HG_School,Unkn,34.58989997,72.19449349,82.5
B06,HG_School_092220_F14,HG_School,Unkn,,,None
B07,HG_School_092220_F15,HG_School,Unkn,34.01430661,94.26455368,82.5
C02,HG_School_092220_F2,HG_School,Unkn,,,None
C03,HG_School_092220_F3,HG_School,Unkn,33.40098441,125.2524102,82
C04,HG_School_092220_F4,HG_School,Unkn,35.58497573,45.52336937,82.5
C05,HG_School_092220_F5,HG_School,Unkn,,,None
C06,HG_School_092220_F6,HG_School,Unkn,33.72964507,107.5572291,82
C07,HG_School_092220_F7,HG_School,Unkn,,,None
C08,HG_School_092220_F8,HG_School,Unkn,35.56866697,45.86872954,77.5
C09,HG_School_092220_F9,HG_School,Unkn,,,None
B04,KC_Domes cDNA control,KC_Domes,Neg Ctrl,,,None
